scenario_id,experiment_block,execution_commit,S5B_registry_commit,FleetPy_commit,scenario_config_sha256,execution_timestamp,execution_end_timestamp,horizon_start,horizon_end,H_base_exact,profile_id,gamma_policy,acceptance_seed,request_count,matched,completed,patience_expired,service_rate,first_window_match_rate,carry_over_entry_rate,carry_over_recovery_rate,critical_recovery,critical_order_count,request_to_pickup_mean,request_to_pickup_p50,request_to_pickup_p90,request_to_pickup_p95,HV_assignments,AV_assignments,HV_assignment_share,AV_assignment_share,requested_q_A,achieved_q_A,AV_vehicle_count,target_HV_vehicle_hours,achieved_HV_vehicle_hours,HV_vehicle_hour_error_pct,selected_HV_session_count,target_p_A,accepted_order_count,realized_accepted_order_share,mean_attempts,expanded_radius_match_share,normalized_operating_cost_total,normalized_operating_cost_per_matched_order,HV_equivalent_operating_seconds,pickup_ETA_objective_value,relative_pickup_ETA_degradation_vs_epsilon_0_reference,cost_enabled,eta_cost_av_to_hv,pickup_cost_epsilon,benchmark_flag,scientific_role,mean_assigned_exposure_static,positive_assigned_exposure_share_static,final_cumulative_mean_exposure_static,maximum_cumulative_mean_exposure_static,binding_epoch_count_static,near_binding_epoch_count_static,minimum_slack_static,mean_slack_static,mean_assigned_exposure_dynamic,positive_assigned_exposure_share_dynamic,final_cumulative_mean_exposure_dynamic,maximum_cumulative_mean_exposure_dynamic,binding_epoch_count_dynamic,near_binding_epoch_count_dynamic,minimum_slack_dynamic,mean_slack_dynamic,mean_assigned_exposure_speed,positive_assigned_exposure_share_speed,final_cumulative_mean_exposure_speed,maximum_cumulative_mean_exposure_speed,binding_epoch_count_speed,near_binding_epoch_count_speed,minimum_slack_speed,mean_slack_speed,reuse_source_scenario_id,runtime_dispatch_epoch_count,runtime_waiting_orders_mean,runtime_waiting_orders_max,runtime_available_vehicles_mean,runtime_available_vehicles_max,runtime_candidate_spatial_pairs,runtime_candidate_topk_pairs,runtime_valid_or_arcs,runtime_peak_topk_pairs_per_epoch,runtime_peak_valid_or_arcs_per_epoch,runtime_assignment_matrix_representation,runtime_gpu_usage,runtime_candidate_reduction_ratio,runtime_matrix_batch_queries,runtime_uncached_arc_evaluations,runtime_arc_cache_hits,runtime_arc_cache_hit_rate,runtime_matrix_failed_arcs,runtime_matrix_arc_failure_rate,runtime_route_fallback_attempts,runtime_route_fallback_successes,runtime_route_fallback_failures,runtime_failed_routing_arcs,runtime_arc_failure_rate,runtime_candidate_generation_time_s,runtime_routing_time_s,runtime_solver_time_s,runtime_fleetpy_time_s,runtime_total_runtime_s,runtime_solver_time_p50,runtime_solver_time_p95,runtime_solver_time_max,runtime_wall_clock_runtime_s,runtime_peak_rss_mb,runtime_enabled_gamma_constraint_count,runtime_cost_level_solve_count
MAIN_Q25_C_P40,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,03fce2a9f150333dd0d12d4b81d135f2562070f07023f3cd94bfb1f38838ba49,2026-08-27T20:13:32.810462+08:00,2026-08-27T20:57:59.751748+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,C,UNCONSTRAINED,20260827,30000,21597,21597,8403,0.7199,0.5982333333333333,0.40176666666666666,0.3028291711607069,0.010247349823321554,8490,163.69549540014816,175.781818,278.8369372,289.90006539999996,20927,670,0.9689771727554753,0.031022827244524702,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,0.4,12033,0.4011,3.8820333333333332,0.16900495439181368,13949704.109946351,645.9093443508983,13949704.109946351,2903312.623680707,,False,1.0,0.0,False,mixed_fleet_transition,7.849941956882255,0.917910447761194,7.849941956882256,9.977777777777778,,,,,0.4275196810720416,0.7925373134328358,0.42751968107204136,0.6549703368888269,,,,,0.12238805970149258,0.7208955223880597,0.12238805970149269,0.16666666666666674,,,,,,2893,40.25613549948151,111,310.4006221914967,491,15800666,2190586,75154,2163,124,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.861361160346026,106943,1433453,757133,0.3456303473134586,0,0.0,0,0,0,0,0.0,875.2696618996197,1618.270931400104,28.364116199802083,144.99524880047102,2666.899958299997,0.004506500001298264,0.04017797999986216,0.09396720000222558,2666.899958299997,1311.55859375,0,0
MAIN_Q25_C_P70,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,601caef415dfe808c3bd2f3e64a0d714fdfcfcfe72c623fbc5043f445771473d,2026-08-27T20:13:32.726837+08:00,2026-08-27T20:57:52.302810+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,C,UNCONSTRAINED,20260827,30000,21648,21648,8352,0.7216,0.6005333333333334,0.3994666666666667,0.3030707610146863,0.00878234037502967,8426,162.4754293893662,173.94914749999998,278.3319498,289.3800095,20729,919,0.9575480413895048,0.042451958610495194,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,0.7,21031,0.7010333333333333,3.8726666666666665,0.16777531411677754,13942610.297992444,644.0599731149503,13942610.297992444,2879414.1049590097,,False,1.0,0.0,False,mixed_fleet_transition,7.653137468262604,0.926006528835691,7.653137468262608,10.053846153846154,,,,,0.40098960510487874,0.794341675734494,0.4009896051048787,0.6445251191930628,,,,,0.12132752992383031,0.720348204570185,0.12132752992383103,0.16666666666666674,,,,,,2893,40.15900449360525,118,310.3059108192188,499,16260971,2194675,77749,2309,128,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8650341975273186,107037,1437894,756781,0.3448259992937451,0,0.0,0,0,0,0,0.0,883.2659620014165,1597.7915224986064,29.027890700192074,149.44735189978383,2659.5327270999987,0.00450700000510551,0.0398248000012245,0.09292599999753293,2659.5327270999987,1325.97265625,0,0
MAIN_Q25_C_P100,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,8b49e4433551e09ed885e3d44311e22c22424ce52ad788c628e7e43091a62f74,2026-08-27T20:58:34.700201+08:00,2026-08-27T21:25:02.216771+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,C,UNCONSTRAINED,20260827,30000,21755,21755,8245,0.7251666666666666,0.6057333333333333,0.39426666666666665,0.302925262089956,0.007941282637468416,8311,163.62190967717765,175.689527,279.4567776,290.0,20645,1110,0.9489772466099747,0.05102275339002528,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,1.0,30000,1.0,3.8337333333333334,0.16469777062744198,14026970.982846178,644.7699831232442,14026970.982846178,2925546.6546548894,,False,1.0,0.0,False,mixed_fleet_transition,7.263503503503504,0.936036036036036,7.26350350350351,8.979999999999999,,,,,0.3808593915665164,0.763063063063063,0.3808593915665166,0.8092011237547739,,,,,0.11981981981981987,0.7189189189189189,0.11981981981982046,0.16666666666666674,,,,,,2893,39.75527134462496,113,309.0563428966471,488,16543457,2175200,77807,2191,122,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8685159939666782,105319,1424491,750709,0.3451218278778963,0,0.0,0,0,0,0,0.0,414.143919499591,1057.6789823002255,17.711851300096896,97.94722880009067,1587.481981900004,0.0038729000007151626,0.02078364000335569,0.03235290000156965,1587.481981900004,1361.66796875,0,0
MAIN_Q25_M_P40,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,0b3f40f27a69c687ec59ead515c29be6f3bbbaa9ab8a4cc9198acad3777289be,2026-08-27T20:58:36.596002+08:00,2026-08-27T21:25:18.586721+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,21654,21654,8346,0.7218,0.6017,0.3983,0.3015315089128797,0.009846956934393166,8429,163.07908033518058,175.141198,278.776592,289.6579618,20738,916,0.9576983467257781,0.042301653274221855,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,0.4,12033,0.4011,3.8651333333333335,0.16638958160155168,13961506.00555889,644.7541334422689,13961506.00555889,2898633.415099015,,False,1.0,0.0,False,mixed_fleet_transition,2.383153255843822,0.8700873362445415,2.3831532558438235,3.476470588235294,,,,,0.15987205838201116,0.4836244541484716,0.1598720583820111,0.2994903924532548,,,,,0.0004776200873362445,0.001091703056768559,0.0004776200873362445,0.0026355421686746986,,,,,,2893,40.08088489457311,115,310.00795022468026,497,16168868,2188332,76850,2248,127,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.864657686611085,106269,1433044,755288,0.34514324151911135,0,0.0,0,0,0,0,0.0,411.7978979990148,1074.1453753013484,18.674945100305195,97.33800869932747,1601.9562270999959,0.003918599999451544,0.02146326000074623,0.09280539999599569,1601.9562270999959,1365.75390625,0,0
MAIN_Q25_M_P70,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,a64dc8166c538aac4f26e0b651fe1dbef814b31a1803a310d25074ac73feaf1e,2026-08-27T19:10:54.267130+08:00,2026-08-27T19:36:17.501516+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,21891,21891,8109,0.7297,0.6131,0.3869,0.3013698630136986,0.010010987669393236,8191,162.13058968991822,173.740737,278.77198,289.748246,20704,1187,0.9457768032524781,0.05422319674752181,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,0.7,21031,0.7010333333333333,3.785066666666667,0.15979169521721256,14099520.923010228,644.0784305426992,14099520.923010228,2920619.748530818,,False,1.0,0.0,False,mixed_fleet_transition,2.464865701967392,0.8694187026116259,2.4648657019673923,3.476470588235294,,,,,0.15064474664126687,0.4903117101937658,0.15064474664126679,0.32900823223197795,,,,,0.0,0.0,0.0,0.0,,,,,,2893,39.25060490839959,112,308.26028344279297,494,16492350,2152956,79999,2179,126,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8694572938362332,104047,1412972,739984,0.3437060487998826,0,0.0,0,0,0,0,0.0,400.980095899984,1007.6579317998912,17.668517100333702,96.8777675997917,1523.1843124000006,0.0038194000007933937,0.02072757999849273,0.030733200001122896,1523.1843124000006,1360.91796875,0,0
MAIN_Q25_M_P100,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,6621667ab4aab4338a73c0e51c61403daa03ee9b71f8ab275f943923580f51f0,2026-08-28T00:23:22.252335+08:00,2026-08-28T01:09:17.047391+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,M,UNCONSTRAINED,20260827,30000,21916,21916,8084,0.7305333333333334,0.6112333333333333,0.38876666666666665,0.30686787276001026,0.008949368640431532,8157,162.30833824561964,173.9392985,277.930192,289.432843,20545,1371,0.9374429640445336,0.06255703595546633,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,1.0,30000,1.0,3.7802333333333333,0.16330534769118452,14106759.710273024,643.674014887435,14106759.710273024,2925666.5506466962,,False,1.0,0.0,False,mixed_fleet_transition,2.3517298093562733,0.8774617067833698,2.351729809356272,3.6029411764705883,,,,,0.1563734981625016,0.49307075127644057,0.15637349816250154,0.3576844103454523,,,,,0.0,0.0,0.0,0.0,,,,,,2893,39.20048392671967,113,308.7061873487729,496,17168879,2154812,80712,2212,127,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8744931454173566,103559,1415176,739636,0.34324850613417784,0,0.0,0,0,0,0,0.0,955.3232967987569,1607.1855541013283,30.493757199968968,161.69767669994326,2754.7002847999975,0.004569899996567983,0.04440044000220951,0.10576929999660933,2754.7002847999975,1361.3984375,0,0
MAIN_Q25_A_P40,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,3af5350ac83382e458535b6ddf5587ca87d0cfc18fe6f07cec0c9822ab987fa2,2026-08-28T00:23:22.223661+08:00,2026-08-28T01:10:53.524764+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,A,UNCONSTRAINED,20260827,30000,21668,21668,8332,0.7222666666666666,0.6058333333333333,0.39416666666666667,0.2953911205073996,0.010216203373722975,8418,162.73265117325087,174.6381715,278.1564714,289.34749635,20718,950,0.9561565442126638,0.043843455787336165,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,0.4,12033,0.4011,3.855166666666667,0.16120546427912127,13964893.465688072,644.4938834081628,13964893.465688072,2898576.0951812295,,False,1.0,0.0,False,mixed_fleet_transition,0.9148288071777618,0.6768421052631579,0.9148288071777627,1.1680365296803652,,,,,0.0366254848278556,0.19894736842105262,0.03662548482785559,0.19562589373865302,,,,,0.0,0.0,0.0,0.0,,,,,,2893,39.97753197372969,115,310.1973729692361,490,16287965,2185691,77981,2245,129,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.865809448878359,105998,1430567,755124,0.34548524928729635,0,0.0,0,0,0,0,0.0,965.187744398092,1685.013128501996,30.887267099984456,170.1324782999218,2851.2206182999944,0.004699399993114639,0.04489510000275914,0.09351020000030985,2851.2206182999944,1364.578125,0,0
MAIN_Q25_A_P70,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,5648b9943dc731b2a57933e4c3edced1be80ebc93dcb4e134d00a7481cf21e8d,2026-08-28T01:12:32.243681+08:00,2026-08-28T01:55:42.038585+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,A,UNCONSTRAINED,20260827,30000,21903,21903,8097,0.7301,0.6158,0.3842,0.29750130140551795,0.0097835391953039,8177,161.80530087321372,173.504763,278.14031639999996,289.5616422,20674,1229,0.943888964981966,0.05611103501803406,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,0.7,21031,0.7010333333333333,3.7798666666666665,0.15655389672647582,14114057.213043235,644.3892258157894,14114057.213043235,2916568.5146575705,,False,1.0,0.0,False,mixed_fleet_transition,0.9471515989165934,0.6493083807973963,0.9471515989165936,1.1836631151699646,,,,,0.03678597854836049,0.1887713588283157,0.0367859785483605,0.19562589373865302,,,,,0.0,0.0,0.0,0.0,,,,,,2893,39.19668164535085,109,308.272035948842,495,16534242,2149303,81101,2129,126,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8700089789420041,103592,1410606,738697,0.3436914199626577,0,0.0,0,0,0,0,0.0,985.2069603989075,1404.2846320010576,29.360428500069247,170.9024794999641,2589.7545003999985,0.00587939999968512,0.03526986000215402,0.15274930000305176,2589.7545003999985,1356.1640625,0,0
MAIN_Q25_A_P100,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,31ca6765340ac1dfc94efedbd855c6a4aba05a445742b9d51e340a61b6106dca,2026-08-28T01:12:34.550501+08:00,2026-08-28T01:55:40.805151+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,A,UNCONSTRAINED,20260827,30000,21928,21928,8072,0.7309333333333333,0.6138666666666667,0.38613333333333333,0.3031767955801105,0.009692062323641271,8151,162.40164153397484,174.5666685,278.2660483,289.36685654999997,20435,1493,0.9319135352061292,0.06808646479387084,0.25,0.25017638597959885,128,9207.336388888889,9265.3875,0.6304875662104189,6314,1.0,30000,1.0,3.774766666666667,0.1601605253557096,14105604.02594731,643.2690635692863,14105604.02594731,2931466.205194443,,False,1.0,0.0,False,mixed_fleet_transition,0.8536283274254997,0.6282652377762894,0.8536283274255007,1.257990867579909,,,,,0.03173391136799528,0.17280643000669793,0.031733911367995284,0.19562589373865302,,,,,0.0,0.0,0.0,0.0,,,,,,2893,39.14379536812997,114,308.3346007604563,499,17328287,2155435,81230,2231,122,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.8756117670488721,103304,1415486,739949,0.3432945089970238,0,0.0,0,0,0,0,0.0,1000.6984584000384,1386.0684010002005,29.429710600234102,170.0174666995299,2586.214036700003,0.0058759000021382235,0.03686031999677653,0.10346420000132639,2586.214036700003,1359.2109375,0,0
MAIN_Q50_C_P40,MAIN_STRUCTURAL,6b6d3410fadc80a25d60a4affc9a439c71c3f174,b82cd3fda60a39c7474de49bdf4f205850a6725d,0379f9725a147ff33c674de4884cdf89fd787fa9,cfa9e392d2aa262d9cab1a45dc3b164f5cbd3e6d2d1a5aa6b68f7f3dbe36c2f4,2026-08-28T01:56:13.253399+08:00,2026-08-28T02:28:31.658192+08:00,2016-10-31T00:00:00+08:00,2016-11-01T00:01:00+08:00,12279.336388888889,C,UNCONSTRAINED,20260827,30000,17457,17457,12543,0.5819,0.4339,0.5661,0.26143790849673204,0.0076740506329113925,12640,178.65222652975885,196.274958,283.262433,291.9648606,16390,1067,0.9388783868935098,0.06112161310649023,0.5,0.5003527719591977,256,6135.336388888889,6154.377777777778,0.31035606985417846,4188,0.4,12033,0.4011,5.223033333333333,0.2543392335452827,11222365.297813583,642.8576100024966,11222365.297813583,2457517.92646474,,False,1.0,0.0,False,mixed_fleet_transition,7.422560658127669,0.9250234301780693,7.422560658127684,9.977777777777778,,,,,0.402925597755523,0.781630740393627,0.402925597755523,0.6794026925044111,,,,,0.11551077788191196,0.6888472352389878,0.11551077788191265,0.16666666666666674,,,,,,2893,54.16211545108884,135,349.34462495679225,471,12891859,2811277,45372,2584,81,CSR_SPARSE_ARCS_ONLY,NONE_CPU_ONLY,0.7819339321039736,146117,1777624,1033653,0.36768095068540024,0,0.0,0,0,0,0,0.0,308.4271627006601,1550.5738081994277,13.918997699889587,65.45218810002552,1938.372156700003,0.0033970000004046597,0.01864395999728004,0.025581900001270697,1938.372156700003,1550.1015625,0,0
